Location,zillow-value,one-year-change,one-year-forcast,market-temperature,price-sqft,median-listing-price,median-sale-price,avg-days-on-market,negative-equity,delinquincy,rent-list-price,rent-sqft
penn-quarter-washington-dc,"491,738",2.9,-0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Shaw neighbour,"819,041",1.8,-0.9,Nodata,731,"779,450",Nodata,Nodata,Nodata,Nodata,"3,125",3.32
Truxton Circle neighbour,"783,925",1.1,-0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Logan Circle neighbour,"649,815",2.1,-1.2,Very Hot,711,"592,000","610,300",Nodata,Nodata,Nodata,"2,994",3.56
Judiciary Square neighbour,"535,247",3.0,-1.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Mount Vernon Square neighbour,"545,456",2.2,-0.6,Nodata,Nodata,"549,950","558,700",Nodata,Nodata,Nodata,"2,606",3.34
Downtown Washington neighbour,"647,571",1.6,-1.0,Nodata,878,"677,450",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
NoMa neighbour,"456,255",0.8,-2.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Dupont Circle neighbour,"482,742",2.4,-0.8,Neutral,680,"459,000","439,100",Nodata,Nodata,Nodata,"2,685",4.04
Southwest Waterfront neighbour,"533,596",4.1,-0.6,Hot,501,"400,000",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Bloomingdale neighbour,"912,306",3.5,-0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Ledroit Park neighbour,"853,466",2.6,-0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
U Street Corridor neighbour,"672,797",1.7,-1.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Columbia Heights neighbour,"677,049",0.9,-1.0,Cold,595,"624,950","583,000",Nodata,Nodata,Nodata,"2,600",2.82
Penn Quarter neighbour,"491,738",2.9,-0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Eckington neighbour,"684,945",-1.7,-1.5,Nodata,538,"650,000",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Edgewood neighbour,"663,165",2.9,-1.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Adams Morgan neighbour,"630,252",1.7,-1.2,Very Hot,631,"599,000","702,100",Nodata,Nodata,Nodata,"2,650",3.39
Foggy Bottom neighbour,"445,086",4.9,-0.6,Nodata,531,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Capitol Hill neighbour,"872,101",1.9,-0.8,Hot,661,"786,748","799,500",Nodata,Nodata,Nodata,"3,600",3.08
Near Northeast neighbour,"786,673",2.3,-0.7,Nodata,615,"797,000","806,800",Nodata,Nodata,Nodata,"3,000",2.66
Kalorama neighbour,"1,498,229",2.9,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Mount Pleasant neighbour,"983,891",3.4,-1.2,Nodata,608,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Navy Yard neighbour,"759,458",5.7,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Anacostia neighbour,"417,035",7.8,-1.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Buena Vista neighbour,"371,660",6.0,-0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Park View neighbour,"702,427",-0.6,-1.2,Nodata,550,"684,000",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Catholic University neighbour,"508,248",11.1,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Sixteenth Street Heights neighbour,"818,789",5.4,0.1,Nodata,470,"717,450","778,800",Nodata,Nodata,Nodata,Nodata,Nodata
Stronghold neighbour,"569,766",8.0,0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Brentwood neighbour,"529,890",3.3,-1.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Brookland neighbour,"712,310",4.5,-0.4,Nodata,497,"640,000","716,800",Nodata,Nodata,Nodata,Nodata,Nodata
Woodley Park neighbour,"1,035,356",5.3,-0.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Georgetown neighbour,"1,391,178",2.6,-0.8,Cold,910,"1,422,000",Nodata,80,Nodata,Nodata,"3,850",3.58
North Rosslyn neighbour,"851,744",4.5,-0.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Barney Circle neighbour,"760,923",1.4,-0.7,Nodata,Nodata,"662,450",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Trinidad neighbour,"664,660",4.4,-1.2,Nodata,482,"584,950",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Kingman Park neighbour,"637,834",1.4,-0.7,Nodata,521,"609,000","561,800",Nodata,Nodata,Nodata,Nodata,Nodata
Fairlawn neighbour,"404,460",2.3,-1.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
